,Year,Type,Country,Area,Location,Activity,Injury,Time
252,2016.0,Unprovoked,AUSTRALIA,Queensland,Miall Island,fishing,Lacerations to arms & leg,09:00 - 11:59
255,2015.0,Unprovoked,USA,Hawaii,La'aloa Beach Park,surfing,"No injury, shark bit board",06:00 - 08:59
256,2015.0,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,surfing,"No injury, shark leapt on surfboard",06:00 - 08:59
261,2015.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,swimming,Lacerations to both hands and forearms,06:00 - 08:59
262,2015.0,Unprovoked,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",swimming,Lacerations to left calf,09:00 - 11:59
263,2015.0,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",surfing,Right heel injured,12:00 - 14:59
264,2015.0,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",swimming,Leg injured,09:00 - 11:59
266,2015.0,Unprovoked,AUSTRALIA,New South Wales,East Ballina,surfing,Injury to left thigh,18:00 - 20:59
268,2015.0,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",swimming,Laceration to right ankle,09:00 - 11:59
269,2015.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",playing,Injury to right ankle/calf & hand,12:00 - 14:59
270,2015.0,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,fishing,"Arms severely injured, surgically amputated",03:00 - 05:59
272,2015.0,Unprovoked,USA,Hawaii,"Malaka, Oahu",surfing,"Lacerations & puncture wounds to right thigh, calf & ankle",12:00 - 14:59
273,2015.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,surfing,"Lacerations to right calf, knee & hip",15:00 - 17:59
274,2015.0,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",surfing,Lacerations to left hand,12:00 - 14:59
275,2015.0,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",surfing,Left foot bitten,12:00 - 14:59
278,2015.0,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",swimming,Injuries to lower legs,09:00 - 11:59
280,2015.0,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",surfing,Laceration to forearm,15:00 - 17:59
281,2015.0,Unprovoked,USA,Hawaii,"Leftovers, Oahu",surfing,"Left leg severed below the knee, defense injuries to left hand",09:00 - 11:59
283,2015.0,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,surfing,Foot injured,15:00 - 17:59
284,2015.0,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",surfing,2 lacerations to ankle,12:00 - 14:59
285,2015.0,Unprovoked,USA,Texas,Galveston,playing,Foot & hands bitten,09:00 - 11:59
286,2015.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Severe lacerations to left hand,06:00 - 08:59
287,2015.0,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",surfing,"Laceration to heel, puncture wounds to dorsum of foot",15:00 - 17:59
288,2015.0,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",swimming,Laceration to leg,12:00 - 14:59
290,2015.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to left ankle,15:00 - 17:59
291,2015.0,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",fishing,Severe laceration to left leg,15:00 - 17:59
292,2015.0,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",playing,Significant injuries to leg,12:00 - 14:59
293,2015.0,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",fishing,Injury to right hand / wrist,06:00 - 08:59
294,2015.0,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",swimming,Lacerations to calf,18:00 - 20:59
295,2015.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",surfing,Injury to right foot,15:00 - 17:59
296,2015.0,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,surfing,Minor laceration to hand,06:00 - 08:59
297,2015.0,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",surfing,"No injury, shark struck board, tossing her into the sea",15:00 - 17:59
299,2015.0,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,surfing,Inuries to lower left leg & ankle,09:00 - 11:59
301,2015.0,Unprovoked,THAILAND,Phuket,Karon Beach,playing,Left foot & ankle bitten,06:00 - 08:59
303,2015.0,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",surfing,"No injury, surfboard bitten",09:00 - 11:59
304,2015.0,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",surfing,"No injury, shark struk sufer's leg and his board",09:00 - 11:59
306,2015.0,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,surfing,Severe laceration to left buttock & thigh,15:00 - 17:59
307,2015.0,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",surfing,"Injuries to left calf, arm and hand",12:00 - 14:59
308,2015.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",playing,Lacerations to right leg,15:00 - 17:59
312,2015.0,Unprovoked,AUSTRALIA,New South Wales,Evans Head,surfing,"Lacerations and puncture wounds to hip, thigh, arm and hand",06:00 - 08:59
315,2015.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",surfing,Minor injury to sole of foot,18:00 - 20:59
317,2015.0,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",swimming,FATAL,09:00 - 11:59
322,2015.0,Unprovoked,USA,California,"Huntington Beach, Orange County",surfing,"No injury, shark bumped & damaged board",06:00 - 08:59
327,2015.0,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,surfing,"No injury, shark bit surfboard",09:00 - 11:59
328,2015.0,Unprovoked,AUSTRALIA,New South Wales,East Ballina,surfing,Significant injuries to lower legs,09:00 - 11:59
329,2015.0,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",swimming,"Injuries to torso, hip, lower leg & hands",12:00 - 14:59
331,2015.0,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",playing,Shallow lacerations & puncture to lateral left leg,18:00 - 20:59
332,2015.0,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",swimming,"Injuries to right calf, buttock and both hands",15:00 - 17:59
333,2015.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,surfing,"Right leg severed, multiple lacerations to left leg",12:00 - 14:59
335,2015.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",surfing,Multiple lacerations to torso & leg,15:00 - 17:59
336,2015.0,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",playing,Puncture wounds to foot,09:00 - 11:59
338,2015.0,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",surfing,Multiple lacerations to back,09:00 - 11:59
339,2015.0,Unprovoked,USA,North Carolina,Surf City,swimming,Minor injury to foot,12:00 - 14:59
342,2015.0,Unprovoked,PUERTO RICO,,Off Cabo Rojo,fishing,Injury to hand,06:00 - 08:59
343,2015.0,Unprovoked,USA,Florida,Daytona Beach Shores,swimming,Minor injury to calf ,12:00 - 14:59
344,2015.0,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",playing,Arm amputated below shoulder,15:00 - 17:59
345,2015.0,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",playing,Left arm amputated at elbow & severe injury to leg,15:00 - 17:59
347,2015.0,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",surfing,Minor lacerations to foot,12:00 - 14:59
348,2015.0,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",playing,Lacerations to right calf,09:00 - 11:59
350,2015.0,Unprovoked,REUNION,Le Port,Folette,surfing,Left forearm bitten,15:00 - 17:59
351,2015.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",playing,Left foot bitten,15:00 - 17:59
352,2015.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Minor lacerations to dorsum of right foot,12:00 - 14:59
353,2015.0,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,fishing,Lacerations to right forearm,06:00 - 08:59
355,2015.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,2 puncture wounds to  dorsum of left foot,09:00 - 11:59
358,2015.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",swimming,"Lacerations to lower left leg, ankle & foot",15:00 - 17:59
359,2015.0,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,surfing,Injuries to left arm & right hand,15:00 - 17:59
360,2015.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,swimming,"Injuries to leg, left arm & both hands",12:00 - 14:59
361,2015.0,Unprovoked,USA,Hawaii,Kanahena Cove ,swimming,FATAL,09:00 - 11:59
362,2015.0,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",playing,Lacerations to left calf,15:00 - 17:59
363,2015.0,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,surfing,Leg severed at mid-thigh,09:00 - 11:59
364,2015.0,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",surfing,"No injury, knocked off ski",09:00 - 11:59
366,2015.0,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,surfing,FATAL,09:00 - 11:59
367,2015.0,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",fishing,Injuries to head & torso,12:00 - 14:59
368,2015.0,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,surfing,Ankle injured,06:00 - 08:59
373,2015.0,Unprovoked,USA,Hawaii,Hapuna Beach,swimming,Lacerations to left forearm. Lacerations to left hand and thigh,09:00 - 11:59
379,2015.0,Unprovoked,REUNION,d'Étang-Salé,Ravine Mula,swimming,FATAL,18:00 - 20:59
380,2015.0,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,surfing,FATAL,09:00 - 11:59
381,2015.0,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",surfing,Laceration & puncture wounds to right flank & hip,06:00 - 08:59
386,2015.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,swimming,Foot bitten,12:00 - 14:59
392,2015.0,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",swimming,Severe bite to right flank,15:00 - 17:59
